순위,노래제목,가수
1,Love Lee,AKMU (악뮤)
2,후라이의 꿈,AKMU (악뮤)
3,Seven (feat. Latto) - Clean Ver.,정국
4,"Smoke (Prod. Dynamicduo, Padi)",임영웅
5,You & Me,"다이나믹 듀오, 이영지"
6,Super Shy,제니 (JENNIE)
7,Do or Die,NewJeans
8,Fast Forward,NewJeans
9,ETA,전소미
10,사랑은 늘 도망가,임영웅
11,모래 알갱이,임영웅
12,I Love My Body,우디 (Woody)
13,사막에서 꽃을 피우듯,화사 (HWASA)
14,Either Way,임영웅
15,우리들의 블루스,박재정
16,헤어지자 말해요,IVE (아이브)
17,다시 만날 수 있을까,임영웅
18,I AM,IVE (아이브)
19,무지개,임영웅
20,이제 나만 믿어요,임영웅
21,London Boy,임영웅
22,Bubble,임영웅
23,Polaroid,임영웅
24,아버지,임영웅
25,인생찬가,STAYC(스테이씨)
26,Still With You,임영웅
27,퀸카 (Queencard),정국
28,A bientot,(여자)아이들
29,Get A Guitar,RIIZE
30,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
31,연애편지,임영웅
32,Hype boy,NewJeans
33,Fact Check (불가사의; 不可思議),Lauv
34,Steal The Show (From “엘리멘탈”),aespa
35,3D (feat. Jack Harlow),LE SSERAFIM (르세라핌)
36,"이브, 프시케 그리고 푸른 수염의 아내",NCT 127
37,Spicy,NewJeans
38,Ditto,IVE (아이브)
39,Kitsch,정국
40,Love Me Again,V
41,New Jeans,NewJeans
42,CAKE,방탄소년단
43,Dynamite,ITZY (있지)
44,Summer (Feat. BE’O (비오)),Paul Blanco
45,너의 모든 순간,성시경
46,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",윤하 (YOUNHA)
47,사건의 지평선,IVE (아이브)
48,UNFORGIVEN (feat. Nile Rodgers),AKMU (악뮤)
49,After LIKE,LE SSERAFIM (르세라핌)
50,KIDDING,이세계아이돌
51,Vancouver 2,V
52,Slow Dancing,IVE (아이브)
53,LOVE DIVE,멜로망스
54,사랑인가 봐,NewJeans
55,Off The Record,탑현
56,I Don't Think That I Like Her,Charlie Puth
57,나에게 그대만이,BIG Naughty (서동현)
58,OMG,DK(디셈버)
59,심(心),IVE (아이브)
60,Attention,NewJeans
61,I WANT,방탄소년단
62,Butter,방탄소년단
63,봄날,IVE (아이브)
64,Like Crazy,임한별
65,사랑하지 않아서 그랬어,"정국, 방탄소년단"
66,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),디오 (D.O.)
67,별 떨어진다 (I Do),지수 (JISOO)
68,Rainy Days,허각
69,물론,세븐틴 (SEVENTEEN)
70,무중력 (Space),V
71,꽃,지민
72,손오공,Charlie Puth
73,Dangerously,김민석 (멜로망스)
74,주저하는 연인들을 위해,잔나비
75,취중고백,NCT 127
76,Baggy Jeans,NCT U
77,Somebody,디오 (D.O.)
78,Angel Eyes,"경서예지, 전건호"
79,다정히 내 이름을 부르면,STAYC(스테이씨)
80,Take Two,방탄소년단
81,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
82,Teddy Bear,부석순 (SEVENTEEN)
83,사람 Pt.2 (feat. 아이유),NCT 127
84,미친 사랑의 노래,Agust D
85,해요 (2022),"김연지, DK(디셈버)"
86,Parade (행진),#안녕
87,파이팅 해야지 (Feat. 이영지),NewJeans
88,그중에 그대를 만나,케이시 (Kassy)
89,Cool With You,"The Kid LAROI, Justin Bieber"
90,사실말야내가말야그게그러니까말이야,김호중
91,STAY,NCT 127
92,폼미쳤다,영탁
93,Yacht,Crush
94,Click Like (Prod. Crush) (Feat. Paul Blanco),우효
95,밤 (Night),NCT 127
96,민들레 (single ver.),LE SSERAFIM (르세라핌)
97,ANTIFRAGILE,aespa
98,Je Ne Sais Quoi,dori
99,Better Things,NCT DREAM
100,가을 타나 봐,지아
